accessNumber,symbol,cik,form,filedDate,acceptedDate,reportUrl,filingUrl
0001921094-25-001077,NVDA,1045810,144,2025-09-03 00:00:00,2025-09-03 16:29:56,https://www.sec.gov/Archives/edgar/data/1045810/000192109425001077/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1045810/000192109425001077/0001921094-25-001077-index.html
0001921094-25-001069,NVDA,1045810,144,2025-09-02 00:00:00,2025-09-02 16:59:02,https://www.sec.gov/Archives/edgar/data/1045810/000192109425001069/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1045810/000192109425001069/0001921094-25-001069-index.html
0001921094-25-001068,NVDA,1045810,144,2025-09-02 00:00:00,2025-09-02 16:58:12,https://www.sec.gov/Archives/edgar/data/1045810/000192109425001068/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1045810/000192109425001068/0001921094-25-001068-index.html
0001921094-25-001052,NVDA,1045810,144,2025-08-29 00:00:00,2025-08-29 16:33:55,https://www.sec.gov/Archives/edgar/data/1045810/000192109425001052/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1045810/000192109425001052/0001921094-25-001052-index.html
0001921094-25-000967,NVDA,1045810,144,2025-08-15 00:00:00,2025-08-15 16:45:57,https://www.sec.gov/Archives/edgar/data/1045810/000192109425000967/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1045810/000192109425000967/0001921094-25-000967-index.html
0001045810-25-000199,NVDA,1045810,13F-HR,2025-08-14 00:00:00,2025-08-14 16:12:41,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000199/information_table.xml,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000199/0001045810-25-000199-index.html
0001921094-25-000955,NVDA,1045810,144,2025-08-14 00:00:00,2025-08-14 16:51:22,https://www.sec.gov/Archives/edgar/data/1045810/000192109425000955/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1045810/000192109425000955/0001921094-25-000955-index.html
0001921094-25-000951,NVDA,1045810,144,2025-08-13 00:00:00,2025-08-13 16:40:14,https://www.sec.gov/Archives/edgar/data/1045810/000192109425000951/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1045810/000192109425000951/0001921094-25-000951-index.html
0001921094-25-000932,NVDA,1045810,144,2025-08-12 00:00:00,2025-08-12 16:56:30,https://www.sec.gov/Archives/edgar/data/1045810/000192109425000932/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1045810/000192109425000932/0001921094-25-000932-index.html
0001921094-25-000918,NVDA,1045810,144,2025-08-11 00:00:00,2025-08-11 16:58:36,https://www.sec.gov/Archives/edgar/data/1045810/000192109425000918/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1045810/000192109425000918/0001921094-25-000918-index.html
0001921094-25-000906,NVDA,1045810,144,2025-08-08 00:00:00,2025-08-08 16:54:21,https://www.sec.gov/Archives/edgar/data/1045810/000192109425000906/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1045810/000192109425000906/0001921094-25-000906-index.html
0001921094-25-000902,NVDA,1045810,144,2025-08-07 00:00:00,2025-08-07 16:48:55,https://www.sec.gov/Archives/edgar/data/1045810/000192109425000902/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1045810/000192109425000902/0001921094-25-000902-index.html
0001921094-25-000888,NVDA,1045810,144,2025-08-06 00:00:00,2025-08-06 16:38:40,https://www.sec.gov/Archives/edgar/data/1045810/000192109425000888/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1045810/000192109425000888/0001921094-25-000888-index.html
0001921094-25-000878,NVDA,1045810,144,2025-08-05 00:00:00,2025-08-05 17:10:38,https://www.sec.gov/Archives/edgar/data/1045810/000192109425000878/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1045810/000192109425000878/0001921094-25-000878-index.html
0001921094-25-000871,NVDA,1045810,144,2025-08-04 00:00:00,2025-08-04 16:51:01,https://www.sec.gov/Archives/edgar/data/1045810/000192109425000871/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1045810/000192109425000871/0001921094-25-000871-index.html
0001921094-25-000860,NVDA,1045810,144,2025-08-01 00:00:00,2025-08-01 16:59:41,https://www.sec.gov/Archives/edgar/data/1045810/000192109425000860/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1045810/000192109425000860/0001921094-25-000860-index.html
